INSTNM,CITY,STABBR,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SAT_AVG,UGDS,COSTT4_A
Chabot College,Hayward,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12386,12030
Chaffey College,Rancho Cucamonga,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19310,17179
Chapman University,Orange,CA,0.5565,600,680,590,700,560,660,1296,7294,72079
Charles R Drew University of Medicine and Science,Los Angeles,CA,0.3164,403,495,410,470,NULL,NULL,889,183,31684
Concordia University-Irvine,Irvine,CA,0.7081,490,600,500,610,440,545,1100,1723,50332
San Diego Christian College,Santee,CA,0.5526,470,600,460,570,420,510,1050,469,47220
Stockton Christian Life College,Stockton,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
Church Divinity School of the Pacific,Berkeley,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Citrus College,Glendora,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11478,10473
Citrus Heights Beauty College,Citrus Heights,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,123,NULL
City College of San Francisco,San Francisco,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21820,10710
Claremont Graduate University,Claremont,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Claremont McKenna College,Claremont,CA,0.103,670,730,690,780,690,760,1449,1335,73810
Milan Institute-Visalia,Visalia,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,395,NULL
Clovis Adult Education,Clovis,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,671,NULL
Coastline Community College,Fountain Valley,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9360,14340
Cogswell University of Silicon Valley,San Jose,CA,0.4934,NULL,NULL,NULL,NULL,NULL,NULL,NULL,541,35151
Coba Academy,Anaheim,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81,NULL
Western University of Health Sciences,Pomona,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Columbia College,Sonora,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2483,15501
Columbia College Hollywood,Tarzana,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,870,36596
Compton College,Compton,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4239,16722
Contra Costa College,San Pablo,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5675,12349
Cosumnes River College,Sacramento,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13220,10790
Crafton Hills College,Yucaipa,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5809,21252
Cuesta College,San Luis Obispo,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7951,14882
Cuyamaca College,El Cajon,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7473,10368
Cypress College,Cypress,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14390,11261
De Anza College,Cupertino,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16822,11306
International School of Beauty Inc,Palm Desert,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,143,NULL
Dell'Arte International School of Physical Theatre,Blue Lake,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL
College of the Desert,Palm Desert,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10936,17378
Design Institute of San Diego,San Diego,CA,0.8667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,121,37413
Diablo Valley College,Pleasant Hill,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17721,12756
Dominican University of California,San Rafael,CA,0.9134,520,610,510,610,470,550,1127,1444,64877
Dominican School of Philosophy & Theology,Berkeley,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
East Los Angeles College,Monterey Park,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31156,17369
El Camino Community College District,Torrance,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20687,17714
Emperor's College of Traditional Oriental Medicine,Santa Monica,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Empire College,Santa Rosa,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,299,NULL
Evergreen Valley College,San Jose,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8059,18667
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,Los Angeles,CA,0.3624,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2195,49140
FIDM-Fashion Institute of Design & Merchandising-San Francisco,San Francisco,CA,0.4061,NULL,NULL,NULL,NULL,NULL,NULL,NULL,188,46260
Feather River Community College District,Quincy,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1251,16379
Federico Beauty Institute,Sacramento,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,326,NULL
Fielding Graduate University,Santa Barbara,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Five Branches University,Santa Cruz,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Redondo Beach Beauty College,Redondo Beach,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76,NULL
Foothill College,Los Altos Hills,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13263,12303
Franciscan School of Theology,San Diego,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fredrick and Charles Beauty College,Eureka,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55,NULL
Fresno City College,Fresno,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21234,11022
Fresno Pacific University,Fresno,CA,0.6608,470,580,460,570,440,525,1042,2872,43780
Fuller Theological Seminary,Pasadena,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fullerton College,Fullerton,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20474,13427
Gavilan College,Gilroy,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4719,12311
Gemological Institute of America-Carlsbad,Carlsbad,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,167,NULL
Glendale Community College,Glendale,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12304,9706
Glendale Career College,Glendale,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,611,NULL
Golden Gate University-San Francisco,San Francisco,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,487,NULL
Golden West College,Huntington Beach,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10863,10939
Graduate Theological Union,Berkeley,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Grossmont College,El Cajon,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14929,10110
Salon Success Academy-Riverside,Riverside,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92,NULL
Hartnell College,Salinas,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11739,11661
Harvey Mudd College,Claremont,CA,0.1367,710,770,780,800,680,760,1526,893,76953
Hilltop Beauty School,Daly City,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,111,NULL
Holy Names University,Oakland,CA,0.6325,280,330,440,550,NULL,NULL,851,668,56509
Pacifica Graduate Institute,Carpinteria,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Humboldt State University,Arcata,CA,0.9217,490,610,480,590,NULL,NULL,1085,6559,24497
Humphreys University-Stockton and Modesto Campuses,Stockton,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,309,24673
Imperial Valley College,Imperial,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7500,9450
Institute for Business and Technology,Santa Clara,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,542,NULL
Interior Designers Institute,Newport Beach,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,139,30810
International School of Cosmetology,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,191,NULL
Irvine Valley College,Irvine,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10881,10550
Bellus Academy-El Cajon,El Cajon,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,200,NULL
John F. Kennedy University,Pleasant Hill,CA,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,373,NULL
American Jewish University,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33,NULL
Reedley College,Reedley,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8803,10922
Life Pacific University,San Dimas,CA,0.9137,460,572,430,540,410,520,991,451,28917
University of La Verne,La Verne,CA,0.5482,520,600,520,590,460,560,1113,4516,58014
Laguna College of Art and Design,Laguna Beach,CA,0.8097,NULL,NULL,NULL,NULL,NULL,NULL,NULL,784,49066
Lake Tahoe Community College,South Lake Tahoe,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2280,14615
Lancaster Beauty School,Lancaster,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,134,NULL
Laney College,Oakland,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8066,18437
Lassen Community College,Susanville,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2245,16281
Life Chiropractic College West,Hayward,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lincoln University,Oakland,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95,NULL
Southern California Seminary,El Cajon,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,36213
La Sierra University,Riverside,CA,0.552,460,580,450,570,420,510,1034,1592,46672
Loma Linda University,Loma Linda,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1058,NULL
Long Beach City College,Long Beach,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23014,10361
Southern California University of Health Sciences,Whittier,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,162,19390
Los Angeles Harbor College,Wilmington,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7260,17109
Los Angeles Pierce College,Woodland Hills,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16458,17298
Los Angeles Southwest College,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4893,14194
Los Angeles Trade Technical College,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10619,14075
Los Angeles Valley College,Valley Glen,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14402,16833
The Master's University and Seminary,Santa Clarita,CA,0.6712,NULL,NULL,NULL,NULL,480,600,NULL,1134,40402
Los Angeles City College,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11985,14285
Los Angeles County College of Nursing and Allied Health,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,199,NULL
Los Angeles Mission College,Sylmar,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8077,16678
Los Medanos College,Pittsburg,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8217,12516
Loyola Marymount University,Los Angeles,CA,0.4384,620,700,610,710,550,650,1331,6638,67017
Lu Ross Academy,Ventura,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,215,NULL
Lyle's College of Beauty,Bakersfield,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88,NULL
Lyle's College of  Beauty,Fresno,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83,NULL
Lytles Redwood Empire Beauty College Inc,Santa Rosa,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,115,NULL
MTI College,Sacramento,CA,0.8103,NULL,NULL,NULL,NULL,NULL,NULL,NULL,756,NULL
College of Marin,Kentfield,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4229,14301
Marymount California University,Rancho Palos Verdes,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,602,53206
Mendocino College,Ukiah,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3020,13593
Menlo College,Atherton,CA,0.6272,NULL,NULL,NULL,NULL,450,525,NULL,833,59469
Merced College,Merced,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9888,18123
Merritt College,Oakland,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5455,16953
Mills College,Oakland,CA,0.7585,505,675,500,615,530,650,1162,699,46493
MiraCosta College,Oceanside,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12227,9082
Mission College,Santa Clara,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5951,12395
Modern Beauty Academy,Oxnard,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL
Modesto Junior College,Modesto,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17013,16844
Moler Barber College,Oakland,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,279,NULL
Middlebury Institute of International Studies at Monterey,Monterey,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL
Monterey Peninsula College,Monterey,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6738,16679
Moorpark College,Moorpark,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12795,9372
Mt San Antonio College,Walnut,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26992,9759
Mount Saint Mary's University,Los Angeles,CA,0.8965,470,590,450,580,400,500,1044,2227,56275
Mt San Jacinto Community College District,San Jacinto,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14435,12404
Musicians Institute,Hollywood,CA,0.6871,NULL,NULL,NULL,NULL,NULL,NULL,NULL,923,39503
Napa Valley College,Napa,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4808,19232
National Holistic Institute,Emeryville,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1237,NULL
National University,La Jolla,CA,0.8947,370,600,380,570,NULL,NULL,960,6791,NULL
Naval Postgraduate School,Monterey,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Newschool of Architecture and Design,San Diego,CA,0.9836,NULL,NULL,NULL,NULL,NULL,NULL,NULL,394,48724
Newberry School of Beauty,Granada Hills,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,113,NULL
North Adrian's College of Beauty Inc,Modesto,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,236,NULL
North-West College-Pomona,Pomona,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,187,NULL
North-West College-West Covina,West Covina,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,700,NULL
North-West College-Van Nuys,Van Nuys,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,198,NULL
Notre Dame de Namur University,Belmont,CA,0.9994,450,550,440,530,410,510,989,795,55099
Occidental College,Los Angeles,CA,0.3669,650,730,650,750,605,690,1386,1970,74132
Ohlone College,Fremont,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7696,16534
Orange Coast College,Costa Mesa,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19074,11120
Otis College of Art and Design,Los Angeles,CA,0.7817,NULL,NULL,NULL,NULL,NULL,NULL,1250,1120,64291
Oxnard College,Oxnard,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6807,9146
Hope International University,Fullerton,CA,0.3679,450,530,460,540,410,510,1001,633,43853
Concorde Career College-San Diego,San Diego,CA,0.9096,NULL,NULL,NULL,NULL,NULL,NULL,NULL,730,NULL
Palo Alto University,Palo Alto,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,68,NULL
Pacific Oaks College,Pasadena,CA,0.0511,NULL,NULL,NULL,NULL,NULL,NULL,NULL,494,NULL
Pacific School of Religion,Berkeley,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pacific States University,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL
Pacific Union College,Angwin,CA,0.5332,470,600,460,590,420,540,1067,889,43382
University of the Pacific,Stockton,CA,0.6561,550,660,570,700,490,630,1251,3585,63482
Palo Verde College,Blythe,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4032,14613
Palomar College,San Marcos,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20659,11471
Pasadena City College,Pasadena,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24685,11246
Pepperdine University,Malibu,CA,0.3172,610,700,620,750,550,650,1349,3581,73002
Pitzer College,Claremont,CA,0.137,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1086,73300
Platt College-San Diego,San Diego,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,114,31563
Point Loma Nazarene University,San Diego,CA,0.7366,580,650,560,660,510,610,1242,3195,50979
Pomona College,Claremont,CA,0.074,690,750,700,790,680,770,1480,1610,71906
Porterville College,Porterville,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3645,10878
Professional Institute of Beauty,El Monte,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,111,NULL
Santa Ana College,Santa Ana,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24689,11161
Pardee RAND Graduate School,Santa Monica,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Shasta School of Cosmetology,Redding,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL
University of Redlands,Redlands,CA,0.7641,540,640,530,630,NULL,NULL,1186,2965,66962
College of the Redwoods,Eureka,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3925,11689
Salon Success Academy-Upland,Upland,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,164,NULL
Salon Success Academy-Corona,Corona,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,116,NULL
Rio Hondo College,Whittier,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17545,11985
Riverside City College,Riverside,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18927,12376
Rosemead Beauty School,Rosemead,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,344,NULL
Dongguk University Los Angeles,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL
Sacramento City College,Sacramento,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19080,12093
Saddleback College,Mission Viejo,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17830,11914
Samuel Merritt University,Oakland,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,708,NULL
San Diego City College,San Diego,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11811,13367
San Diego Mesa College,San Diego,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18085,12685
San Diego Miramar College,San Diego,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11759,12019
San Diego State University,San Diego,CA,0.3413,560,650,550,670,NULL,NULL,1221,30347,23054
University of San Diego,San Diego,CA,0.4869,600,680,590,690,540,650,1299,5820,66818
San Francisco Art Institute,San Francisco,CA,0.9033,NULL,NULL,NULL,NULL,NULL,NULL,NULL,210,71486
San Francisco Conservatory of Music,San Francisco,CA,0.4758,NULL,NULL,NULL,NULL,NULL,NULL,NULL,233,66900
San Francisco State University,San Francisco,CA,0.673,470,580,470,570,NULL,NULL,1046,25126,24839
University of Redlands Graduate School of Theology,San Anselmo,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,54,NULL
University of San Francisco,San Francisco,CA,0.6442,570,660,560,670,520,620,1236,6510,67416
San Joaquin College of Law,Clovis,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
San Joaquin Delta College,Stockton,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16358,18462
San Joaquin Valley College-Visalia,Visalia,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6400,NULL
William Jessup University,Rocklin,CA,0.6503,480,610,470,600,440,550,1085,1246,48426
San Jose City College,San Jose,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7464,18026
San Jose State University,San Jose,CA,0.6357,510,620,510,640,NULL,NULL,1139,27723,24649
College of San Mateo,San Mateo,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7127,9731
Santa Barbara Business College-Bakersfield,Bakersfield,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,308,21291
Santa Barbara Business College-Santa Maria,Santa Maria,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89,19267
Santa Barbara City College,Santa Barbara,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12659,14742
Santa Clara University,Santa Clara,CA,0.4882,630,700,650,740,NULL,NULL,1368,5676,71335
Santa Monica College,Santa Monica,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25492,11212
Santa Rosa Junior College,Santa Rosa,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16469,13748
Saybrook University,Pasadena,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Scripps College,Claremont,CA,0.32,673,740,660,750,653,730,1420,1083,73756
College of the Sequoias,Visalia,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10912,8688
Shasta Bible College and Graduate School,Redding,CA,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,24575
Shasta College,Redding,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6025,10903
Sierra College,Rocklin,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16064,11127
Sierra College of Beauty,Merced,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,138,NULL
Trinity Law School,Santa Ana,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Simpson University,Redding,CA,0.5231,460,580,470,560,430,530,1041,701,43693
College of the Siskiyous,Weed,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1403,15377
Charles A Jones Career and Education Center,Sacramento,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,243,NULL
Skyline College,San Bruno,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7500,9201
San Bernardino Valley College,San Bernardino,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12887,14752
Saint Mary's College of California,Moraga,CA,0.81,540,630,520,610,510,610,1175,2632,66976
Solano Community College,Fairfield,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7965,12178
Sonoma State University,Rohnert Park,CA,0.9119,490,590,480,580,NULL,NULL,1065,8119,25554
South Baylo University,Anaheim,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South Coast College,Orange,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,226,28055
Vanguard University of Southern California,Costa Mesa,CA,0.4945,490,590,480,570,NULL,NULL,1070,1914,46807
Concorde Career College-Garden Grove,Garden Grove,CA,0.9522,NULL,NULL,NULL,NULL,NULL,NULL,NULL,589,NULL
Southwestern College,Chula Vista,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17839,11675
St John's Seminary,Camarillo,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Starr King School for the Ministry,Oakland,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Marshall B Ketchum University,Fullerton,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern California Institute of Architecture,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,465,570,NULL,237,69240
University of Southern California,Los Angeles,CA,0.1142,670,740,690,790,650,750,1453,19908,74738
Southwestern Law School,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Taft College,Taft,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5376,14045
Claremont School of Theology,Claremont,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Thomas Aquinas College,Santa Paula,CA,0.7892,590,710,560,680,590,700,1284,439,36738
Epic Bible College,Sacramento,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,109,13535
United Education Institute-Huntington Park Campus,Huntington Park,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,921,NULL
Concorde Career College-San Bernardino,San Bernardino,CA,0.9257,NULL,NULL,NULL,NULL,NULL,NULL,NULL,572,NULL
Concorde Career College-North Hollywood,North Hollywood,CA,0.9139,NULL,NULL,NULL,NULL,NULL,NULL,NULL,601,NULL
Ventura College,Ventura,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11535,9584
The Santa Barbara and Ventura Colleges of Law at Ventura,Ventura,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Victor Valley College,Victorville,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10269,16182
Berkeley City College,Berkeley,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4770,16393
Walden University,Minneapolis,MN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6948,NULL
Waynes College of Beauty,Salinas,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,NULL
West Hills College-Coalinga,Coalinga,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2613,15182
West Los Angeles College,Culver City,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11034,14437
West Valley College,Saratoga,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6586,11907
Carrington College-Sacramento,Sacramento,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3261,NULL
